station_name,lon,lat
八代,130.621609,32.503805
川内,130.31213,31.813726
隈之城,130.307092,31.79255
木場茶屋,130.308046,31.766138
串木野,130.274531,31.721605
神村学園前,130.284129,31.703731
市来,130.302727,31.68999
湯之元,130.336753,31.673961
東市来,130.347609,31.655164
伊集院,130.395703,31.630148
薩摩松元,130.439002,31.605318
上伊集院,130.459468,31.593837
広木,130.504328,31.576712
鹿児島中央,130.541789,31.583727
鹿児島,130.564112,31.602098
鳥栖,130.519374,33.373864
新鳥栖,130.491111,33.370278
肥前麓,130.477499,33.36578
中原,130.440046,33.346241
吉野ケ里公園,130.399553,33.324917
神埼,130.374446,33.315851
伊賀屋,130.336753,33.290195
佐賀,130.297608,33.264212
鍋島,130.265702,33.259062
バルーンさが,130.248942,33.257795
久保田,130.229594,33.255717
牛津,130.201016,33.247859
江北,130.160858,33.21919
肥前白石,130.135952,33.186679
肥前竜王,130.12042,33.146663
肥前鹿島,130.097805,33.114445
肥前浜,130.117079,33.095103
肥前七浦,130.145245,33.070931
肥前飯田,130.158754,33.055701
多良,130.176049,33.02524
肥前大浦,130.207159,32.975043
小長井,130.186386,32.924075
長里,130.165484,32.91526
湯江,130.140614,32.904811
小江,130.112282,32.891351
肥前長田,130.079971,32.861773
東諫早,130.061675,32.852823
諫早,130.041596,32.851018
西諫早,130.021269,32.839632
喜々津,129.98627,32.832743
市布,129.965831,32.818986
肥前古賀,129.951571,32.798463
現川,129.926453,32.79118
東園,129.962591,32.847091
大草,129.938972,32.860232
本川内,129.899916,32.831792
長与,129.879434,32.818981
高田,129.869457,32.819475
道ノ尾,129.852997,32.804329
西浦上,129.859206,32.790245
浦上,129.863304,32.765767
長崎,129.869056,32.75275
門司港,130.961549,33.945138
小森江,130.938674,33.916352
門司,130.933438,33.904309
小倉,130.882678,33.886756
西小倉,130.873897,33.888673
南小倉,130.864895,33.869972
城野,130.886242,33.858202
安部山公園,130.904498,33.844078
下曽根,130.934829,33.832522
朽網,130.955025,33.807384
苅田,130.979016,33.784462
小波瀬西工大前,130.97197,33.752992
行橋,130.970313,33.72835
南行橋,130.981118,33.716332
新田原,131.008316,33.695152
築城,131.038069,33.673119
椎田,131.057965,33.653377
豊前松江,131.095421,33.622487
宇島,131.126354,33.62131
三毛門,131.15653,33.614597
吉富,131.174012,33.604465
中津,131.190769,33.599202
東中津,131.238664,33.58788
今津,131.267462,33.571929
天津,131.292962,33.564678
豊前善光寺,131.322776,33.566479
柳ケ浦,131.362665,33.564982
豊前長洲,131.383264,33.56465
宇佐,131.41231,33.531373
西屋敷,131.429433,33.504332
立石,131.476993,33.481829
中山香,131.505721,33.448636
杵築,131.575295,33.411081
大神,131.57524,33.383576
日出,131.543036,33.368921
暘谷,131.530581,33.370112
豊後豊岡,131.50137,33.361923
亀川,131.493019,33.330688
別府大学,131.499255,33.31327
別府,131.500319,33.279665
東別府,131.510537,33.267753
西大分,131.582758,33.245184
大分,131.606595,33.232794
牧,131.637828,33.237006
高城,131.655746,33.242837
鶴崎,131.686899,33.242852
大在,131.720487,33.243938
坂ノ市,131.751593,33.236715
幸崎,131.795095,33.233844
佐志生,131.817688,33.174957
下ノ江,131.811159,33.158653
熊崎,131.787632,33.135768
上臼杵,131.793015,33.112499
臼杵,131.807574,33.118496
津久見,131.863696,33.072853
日代,131.918735,33.066024
浅海井,131.919236,33.043539
狩生,131.904908,33.015334
海崎,131.88796,32.996041
佐伯,131.901857,32.972521
佐伯,131.901857,32.972521
上岡,131.8616,32.956302
直見,131.807899,32.928396
直川,131.779529,32.898667
重岡,131.715499,32.840339
宗太郎,131.706735,32.78628
市棚,131.710255,32.728336
北川,131.697691,32.690558
日向長井,131.700156,32.664325
北延岡,131.689869,32.630276
延岡,131.672442,32.589944
南延岡,131.676829,32.559272
旭ケ丘,131.681386,32.52812
土々呂,131.675009,32.507832
門川,131.653972,32.477381
日向市,131.62784,32.4258
財光寺,131.627602,32.405654
南日向,131.627784,32.369867
美々津,131.602279,32.325892
東都農,131.582054,32.290109
都農,131.568429,32.251085
川南,131.553321,32.192224
高鍋,131.533927,32.122866
日向新富,131.501627,32.072479
佐土原,131.477504,32.022412
日向住吉,131.457986,31.991244
蓮ケ池,131.442802,31.960113
宮崎神宮,131.430223,31.938067
宮崎,131.431975,31.915742
南宮崎,131.422329,31.895097
加納,131.406246,31.876084
清武,131.38931,31.859418
日向沓掛,131.344763,31.842241
田野,131.304255,31.838438
青井岳,131.218153,31.827922
山之口,131.152735,31.782582
餅原,131.132508,31.757094
三股,131.119384,31.733794
都城,131.073992,31.73657
西都城,131.057027,31.723381
五十市,131.033833,31.718448
財部,130.991374,31.728796
北俣,130.960034,31.745007
大隅大川原,130.924355,31.772767
北永野田,130.87444,31.782118
霧島神宮,130.836939,31.818181
国分,130.763447,31.743657
隼人,130.740316,31.743893
加治木,130.670752,31.739271
錦江,130.6533,31.73691
帖佐,130.632716,31.72697
姶良,130.623259,31.715246
重富,130.61408,31.702717
竜ケ水,130.604239,31.64743
仙巌園,130.577103,31.61768854
鹿児島,130.564112,31.602098
鹿児島中央,130.541789,31.583727
桂川,130.662752,33.584705
筑前大分,130.630196,33.590006
九郎原,130.612439,33.592492
城戸南蔵院前,130.572076,33.61826
筑前山手,130.55693,33.622251
篠栗,130.524515,33.624045
門松,130.496529,33.620531
長者原,130.477848,33.613567
原町,130.470949,33.611748
柚須,130.445031,33.613206
吉塚,130.423674,33.607142
博多,130.420622,33.590002
姪浜,130.32521,33.583764
下山門,130.308217,33.58193
今宿,130.273531,33.579449
九大学研都市,130.259832,33.578178
周船寺,130.245766,33.570762
波多江,130.226374,33.563876
糸島高校前,130.211917,33.560222
筑前前原,130.199332,33.557018
美咲が丘,130.185039,33.549624
加布里,130.176738,33.54381
一貴山,130.168236,33.534294
筑前深江,130.139303,33.515099
大入,130.105576,33.50891
福吉,130.079832,33.50166
鹿家,130.047904,33.484391
浜崎,130.037369,33.446871
虹ノ松原,130.016271,33.441035
東唐津,129.996876,33.439409
和多田,129.980616,33.437048
唐津,129.96835,33.446038
西唐津,129.957748,33.46142
若松,130.806307,33.901179
藤ノ木,130.781838,33.893426
奥洞海,130.76492,33.889165
二島,130.748413,33.889687
本城,130.722899,33.875135
折尾,130.713109,33.863629
折尾,130.713109,33.863629
東水巻,130.70826,33.840852
中間,130.709302,33.828132
筑前垣生,130.702269,33.818385
鞍手,130.699412,33.797699
筑前植木,130.70795,33.777174
新入,130.714152,33.763498
直方,130.724339,33.748639
勝野,130.715893,33.728338
小竹,130.710338,33.697227
鯰田,130.703163,33.669341
浦田,130.699277,33.655801
新飯塚,130.694278,33.644261
飯塚,130.689545,33.628487
天道,130.67787,33.605342
桂川,130.662752,33.584705
桂川,130.662752,33.584705
上穂波,130.645151,33.566909
筑前内野,130.63793,33.539967
筑前山家,130.574185,33.477472
原田,130.539376,33.451769
久留米,130.501408,33.319778
久留米高校前,130.517109,33.298431
南久留米,130.532204,33.302857
久留米大学前,130.548876,33.310843
御井,130.562361,33.312813
善導寺,130.608851,33.320141
筑後草野,130.642143,33.321988
田主丸,130.692353,33.338871
筑後吉井,130.752193,33.341014
うきは,130.789107,33.33506
筑後大石,130.816899,33.347215
夜明,130.866195,33.319541
光岡,130.919901,33.327668
日田,130.938786,33.317014
豊後三芳,130.951557,33.305796
豊後中川,131.005834,33.284482
天ケ瀬,131.023877,33.254747
杉河内,131.065535,33.264391
北山田,131.100917,33.282004
豊後森,131.155202,33.282954
恵良,131.174566,33.255224
引治,131.183589,33.229188
豊後中村,131.207548,33.226016
野矢,131.25186,33.240391
由布院,131.355024,33.262551
南由布,131.333544,33.242116
湯平,131.354395,33.197339
庄内,131.402063,33.185126
天神山,131.438821,33.187154
小野屋,131.452546,33.185258
鬼瀬,131.485586,33.195721
向之原,131.514075,33.196625
豊後国分,131.551219,33.195065
賀来,131.562455,33.213091
南大分,131.585913,33.214276
古国府,131.608306,33.220707
大分,131.606595,33.232794
小倉,130.882678,33.886756
西小倉,130.873897,33.888673
南小倉,130.864895,33.869972
城野,130.886242,33.858202
石田,130.888847,33.831985
志井公園,130.879793,33.818636
志井,130.874596,33.803569
石原町,130.865972,33.784959
呼野,130.861796,33.754949
採銅所,130.853151,33.707489
香春,130.846972,33.666003
一本松,130.835781,33.65607
田川伊田,130.817688,33.642046
田川後藤寺,130.800232,33.630294
池尻,130.805704,33.613121
豊前川崎,130.821989,33.596782
西添田,130.847124,33.57344
添田,130.856454,33.567352
歓遊舎ひこさん,130.859839,33.547909
豊前桝田,130.86243,33.535777
彦山,130.869093,33.500728
筑前岩屋,130.881524,33.430539
大行司,130.874662,33.396897
宝珠山,130.87942,33.378819
大鶴,130.885387,33.366868
今山,130.876977,33.345223
夜明,130.866195,33.319541
光岡,130.919901,33.327668
日田,130.938786,33.317014
新飯塚,130.694278,33.644261
上三緒,130.713824,33.622254
下鴨生,130.728209,33.614811
筑前庄内,130.738475,33.61635
船尾,130.767387,33.630221
田川後藤寺,130.800232,33.630294
西戸崎,130.35777,33.650139
海ノ中道,130.361633,33.664241
雁ノ巣,130.403312,33.683872
奈多,130.411983,33.68646
和白,130.429918,33.688888
香椎,130.444063,33.659228
香椎,130.444063,33.659228
香椎神宮,130.45271,33.649544
舞松原,130.455141,33.645386
土井,130.466068,33.634968
伊賀,130.473575,33.620806
長者原,130.477848,33.613567
酒殿,130.486348,33.602652
須恵,130.498077,33.596803
須恵中央,130.505146,33.587296
新原,130.508835,33.579061
宇美,130.513426,33.569251
江北,130.160858,33.21919
大町,130.106398,33.212462
北方,130.083206,33.21625
高橋,130.042315,33.2081
武雄温泉,130.022322,33.196151
永尾,129.980476,33.193439
三間坂,129.947798,33.194722
上有田,129.905404,33.190286
有田,129.881787,33.183779
三河内,129.82919,33.150268
早岐,129.79929,33.134155
大塔,129.782014,33.14917
日宇,129.758276,33.157418
佐世保,129.725667,33.163868
西唐津,129.957748,33.46142
唐津,129.96835,33.446038
鬼塚,129.987138,33.421166
山本,129.981122,33.393472
肥前久保,130.000104,33.355738
西相知,129.99053,33.347686
佐里,129.978545,33.337476
駒鳴,129.972469,33.319455
大川野,129.976724,33.307298
肥前長野,129.971033,33.29571
桃川,129.956683,33.271809
金石原,129.935012,33.265354
上伊万里,129.892515,33.270066
伊万里,129.876718,33.271852
佐賀,130.297608,33.264212
鍋島,130.265702,33.259062
バルーンさが,130.248942,33.257795
久保田,130.229594,33.255717
小城,130.198679,33.285749
東多久,130.143188,33.285418
中多久,130.112308,33.28336
多久,130.096195,33.28838
厳木,130.060148,33.323451
岩屋,130.038436,33.330775
相知,130.019337,33.347012
本牟田部,129.996529,33.372266
山本,129.981122,33.393472
鬼塚,129.987138,33.421166
唐津,129.96835,33.446038
西唐津,129.957748,33.46142
早岐,129.79929,33.134155
ハウステンボス,129.796458,33.091923
南風崎,129.80111,33.086984
小串郷,129.834347,33.063779
川棚,129.864112,33.068368
彼杵,129.914541,33.039875
千綿,129.945573,33.013107
松原,129.94619,32.97738
大村車両基地,129.944528,32.955222
竹松,129.953035,32.939959
新大村,129.956944,32.932778
諏訪,129.960277,32.923627
大村,129.962238,32.911439
岩松,129.981218,32.890513
諫早,130.041596,32.851018
熊本,130.688499,32.789207
平成,130.703539,32.781569
南熊本,130.711577,32.785159
新水前寺,130.725901,32.793363
水前寺,130.729823,32.796962
東海学園前,130.742684,32.811267
竜田口,130.746933,32.820455
武蔵塚,130.77024,32.850008
光の森,130.786722,32.857834
三里木,130.796321,32.861634
原水,130.829029,32.870625
肥後大津,130.866218,32.877512
瀬田,130.914044,32.872567
立野,130.965403,32.87757
赤水,130.9929,32.913261
市ノ川,131.00759,32.928048
内牧,131.043648,32.942136
阿蘇,131.079959,32.937393
いこいの村,131.094666,32.93659
宮地,131.117476,32.937305
波野,131.195298,32.938562
滝水,131.24263,32.933342
豊後荻,131.297657,32.926889
玉来,131.376369,32.947847
豊後竹田,131.389814,32.970906
朝地,131.432305,33.004356
緒方,131.476678,32.971255
豊後清川,131.523558,32.972974
三重町,131.584389,32.983616
菅尾,131.616716,33.014328
犬飼,131.63667,33.078158
竹中,131.649557,33.121529
中判田,131.638735,33.164564
大分大学前,131.618742,33.177131
敷戸,131.615128,33.18811
滝尾,131.62311,33.209495
大分,131.606595,33.232794
熊本,130.688499,32.789207
川尻,130.679907,32.743772
富合,130.672808,32.713658
宇土,130.669148,32.694237
緑川,130.631339,32.694006
住吉,130.597963,32.702066
肥後長浜,130.560302,32.690694
網田,130.547004,32.667493
赤瀬,130.510167,32.653252
石打ダム,130.507013,32.642653
波多浦,130.488117,32.615524
三角,130.469872,32.607616
八代,130.621609,32.503805
段,130.645736,32.468101
坂本,130.657898,32.435149
葉木,130.645444,32.410293
鎌瀬,130.65458,32.391092
瀬戸石,130.646004,32.371474
海路,130.61928,32.349407
吉尾,130.600352,32.330958
白石,130.608328,32.305694
球泉洞,130.608191,32.267817
一勝地,130.652399,32.250231
那良口,130.667479,32.243732
渡,130.694801,32.236631
西人吉,130.725707,32.22841
人吉,130.753797,32.216142
大畑,130.787722,32.16493
矢岳,130.769799,32.104278
真幸,130.72914,32.074544
吉松,130.738104,32.012026
吉松,130.738104,32.012026
栗野,130.723663,31.950575
大隅横川,130.702825,31.906487
植村,130.724065,31.890175
霧島温泉,130.734329,31.86815
嘉例川,130.723021,31.826939
中福良,130.733174,31.813818
表木山,130.745324,31.796176
日当山,130.749836,31.763402
隼人,130.740316,31.743893
宮崎,131.431975,31.915742
南宮崎,131.422329,31.895097
田吉,131.430697,31.878202
宮崎空港,131.440555,31.87251
宮崎,131.431975,31.915742
南宮崎,131.422329,31.895097
田吉,131.430697,31.878202
南方,131.434378,31.859592
木花,131.43679,31.831544
運動公園,131.442629,31.819678
曽山寺,131.448309,31.813401
子供の国,131.457005,31.807394
青島,131.467121,31.799801
折生迫,131.467477,31.789357
内海,131.46742,31.758508
小内海,131.466127,31.737838
伊比井,131.456159,31.711069
北郷,131.373565,31.678267
内之田,131.372594,31.642551
飫肥,131.361506,31.627216
日南,131.381267,31.603076
油津,131.396169,31.586883
大堂津,131.382093,31.556897
南郷,131.372157,31.535927
谷之口,131.344615,31.533372
榎原,131.306526,31.534688
日向大束,131.248745,31.510584
日向北方,131.24318,31.483037
串間,131.230448,31.462684
福島今町,131.20333,31.456906
福島高松,131.178301,31.458619
大隅夏井,131.136449,31.469801
志布志,131.097864,31.47285
都城,131.073992,31.73657
日向庄内,131.06156,31.762056
谷頭,131.053901,31.789348
万ケ塚,131.063991,31.817215
東高崎,131.064998,31.840946
高崎新田,131.062669,31.875693
日向前田,131.040386,31.908605
高原,130.999012,31.926899
広原,130.984877,31.957766
小林,130.976132,31.990749
西小林,130.921829,32.009409
えびの飯野,130.871178,32.030295
えびの上江,130.850133,32.035519
えびの,130.81621,32.042242
京町温泉,130.767911,32.045379
鶴丸,130.748524,32.030394
吉松,130.738104,32.012026
鹿児島中央,130.541789,31.583727
郡元,130.541976,31.565607
南鹿児島,130.543714,31.554786
宇宿,130.536458,31.544234
谷山,130.51886,31.527094
慈眼寺,130.506212,31.517286
坂之上,130.507801,31.500454
五位野,130.504096,31.475201
平川,130.51367,31.450132
瀬々串,130.522894,31.421839
中名,130.535086,31.393591
喜入,130.538867,31.371468
前之浜,130.556995,31.343433
生見,130.577878,31.307292
薩摩今和泉,130.599002,31.29068
宮ケ浜,130.619807,31.277218
二月田,130.630082,31.254339
指宿,130.642637,31.236925
山川,130.630127,31.211702
大山,130.5992,31.195011
西大山,130.57621,31.190269
薩摩川尻,130.565385,31.194791
東開聞,130.549897,31.200924
開聞,130.534737,31.203932
入野,130.518788,31.204293
頴娃,130.500378,31.229085
西頴娃,130.491351,31.241025
御領,130.468747,31.252032
石垣,130.445227,31.259228
水成川,130.430695,31.257145
頴娃大川,130.413394,31.257875
松ケ浦,130.394551,31.258843
薩摩塩屋,130.376128,31.257132
白沢,130.356352,31.256898
薩摩板敷,130.330993,31.262313
枕崎,130.299439,31.27215
東小倉,130.898667,33.887944
北九州（タ）,130.922556,33.896056
千早（操）,130.435306,33.644139
大宰府（信）,130.5,33.508306
